userName;content;score;at;appVersion;;
taufik hidayat;NYESEL GW BELI INDOSAT KUOTA SAMPAH MASA 7 GB AJA LOADING SEMUA ..DAH DI MATIIN HPNYA MODE PESAWAT SEGALA CARA TETAP LOADING HADEUH INDOSAT...;1;25/01/2024 11.59;81.14.02;;
Harlan LP700-4;Abis Update , gabisa masuk , , Eror !!!;1;25/01/2024 11.55;82.00.02;;
Faozi Ramadahan;Kartu taek hujan doang ko ngeleg;2;25/01/2024 11.54;81.16.00;;
Lukman ansori;luarrr biasa;5;25/01/2024 11.48;0;;
Kardi Suwitno;Tadi siang isi paket data im3 15gb sebulan,,belum dipakai langsung habis dicek kuotanya sisa 0;2;25/01/2024 11.46;82.00.04;;
DG18iman Sulaeman;bangus;5;25/01/2024 11.32;81.16.00;;
Irjun Nursya'ban 14;Kenapa ya akhir2 ini indosat aneh. Sinyal 4G full bar tapi kuota ga bisa dipake🙂 udh restart device, nyala matiin mode pasawat, nonaktif terus aktifin kartu juga sama aja🙂 apa karena indosat kebakaran di semarang itu ya, tapi sampai kapan gini terus🙂 perasaan udh agak lama🙂🙂🙂🙂🙂🙂🙂;1;25/01/2024 11.31;0;;
Nasrun Asrun;saya cukup puas pakai im3 krn banyak bonus sya harap kdepannya lbih baik lagi;5;25/01/2024 11.27;0;;
Dede Hasanudin;🥲;1;25/01/2024 11.26;0;;
Purnahadi Sempana;waww aplikasinya keren dan banyak promonya jg bagus bgtt;5;25/01/2024 11.17;81.16.00;;
Sunny Go;Harga paket data setiap bulan harganya naik, ngak ngotak banget ini im3 bikin harga?;1;25/01/2024 11.14;82.00.04;;
Mabuchy Kelazzz;mantap men;5;25/01/2024 11.13;81.16.00;;
Nur Fadilah;sinyalnya alhamdulillah lancar,tp paketanya kadang mahal..;3;25/01/2024 11.11;82.00.02;;
Sipa Patonah;Sudah update malah gangguan gabisa dibuka;2;25/01/2024 11.09;82.00.04;;
Firman Aripudin;Main 1 jam lebih panjat kuota ... bukan y dpt kuota malah dapet ke kesalan z;1;25/01/2024 11.07;0;;
Surya Anwar;Bagus;5;25/01/2024 11.01;81.15.00;;
Hadi Nugroho;Hujan dikit lemot,hujan dikit sinyal ilang,dari dulu g pernah berubah,kalo gini terus mending ganti kartu;1;25/01/2024 10.59;0;;
Niko Saputra;udah kuotanya naik sinyalnya drop mengecewakan pelanggan ,wilayah kota besar ajaa sinyal nya drop gini ntah apa lah;1;25/01/2024 10.57;82.00.04;;
imam suhadi;lancar dan mantab;5;25/01/2024 10.56;82.00.04;;
Yuda Yud;indosat memang kartu yang paling bagus;5;25/01/2024 10.55;81.10.01;;
Kuyoi;mantap;5;25/01/2024 10.50;82.00.03;;
Faza Muchammad rizqi adi;Saya sangat kecewa dengan indosat saya mau nontin youtube gak selancar dulu sebelum ada kebakaran kantor indosat semarang sejak kebakaran kantor indosat di semarang sinyak nya susah banget gak secara nornal banget saya sangat kecewa dengan indosat;1;25/01/2024 10.50;82.00.02;;
Nuss Aja;"kuota full sinyal full gk bisa buat apa"",sekarang im3 jelek";1;25/01/2024 10.48;0;;
Waki Realme;Kuli bangunan;5;25/01/2024 10.47;0;;
Septi Ana;Sinyal sering lag and sering ilang knpa ya?;1;25/01/2024 10.38;82.00.02;;
Muhammad Ridho;promonya kurang;3;25/01/2024 10.26;81.16.00;;
ida farida;Adain fitur Lockbooten dong kya aplikasi my axis. Jd kalo paket habis, pulsa gak ke ambil,;2;25/01/2024 10.21;81.02.00;;
Irma Karlina;sangat bagus;5;25/01/2024 10.19;82.00.03;;
ADNAN Tzy;👍;5;25/01/2024 10.12;82.00.04;;
Jatim 019;good;5;25/01/2024 10.09;0;;
Hedra Yani;Saya mau beli paket nelpon kok gk bisa gimna ini;3;25/01/2024 10.08;0;;
Joki Jok;kren;2;25/01/2024 10.05;82.00.04;;
Hani Fah;bagus untuk pengingat dan tukar poin;5;25/01/2024 10.03;81.16.00;;
Muhammad Tantowi;bagus;5;25/01/2024 09.59;82.00.03;;
azka aldric;Apa yang diperbaiki . M3 jaringan full tapi conect internet lemot sekali . Punya kuota tapi kga nisa digunain. Buat apan jadinya beli kuota . Hadeh apk nya diperbarui malah bapuk masukin nomer buat kode otp , kode nya ga dikirim . Benga;1;25/01/2024 09.59;81.16.00;;
Syahadi Saputra3 (Sadan);Sangat baik;5;25/01/2024 09.58;0;;
Lidia Sari;sngt bagus;5;25/01/2024 09.57;82.00.04;;
Zaka Ria;ok;5;25/01/2024 09.55;82.00.04;;
Malikatus Malikatus sofiroh;karena dapet gratisan banyak;5;25/01/2024 09.55;0;;
Esyah Nurjanah;bagus;4;25/01/2024 09.46;82.00.04;;
Zulkarnain Terawas;baguss;3;25/01/2024 09.45;81.07.00;;
Hery Anto;Tolong di perbaik jaringannya agar pelanggan puas! Sangat merugikan dengan aps indosat ini.harga mahal dan jaringan tidak optimal atau lelet.PEMBODOHAN!;1;25/01/2024 09.41;82.00.04;;
Dede Iskandar;sangat baik;3;25/01/2024 09.41;81.16.00;;
Jibdi Aja;Mantap;5;25/01/2024 09.35;82.00.02;;
Jajang Juhdi;kurang puas kuota geratis nya juga;3;25/01/2024 09.35;82.00.04;;
Wahyu Indah Kurnia;Aplikasi banyak bug masih aja di pajang.;1;25/01/2024 09.32;82.00.04;;
dimas kristian;masih nyoba klo oke nambah bintangnya;3;25/01/2024 09.29;82.00.04;;
yon wik;mantap,keren banget;5;25/01/2024 09.16;82.00.04;;
Andy Muhammad;sangat bagus;2;25/01/2024 09.13;82.00.04;;
Drivercabang004 Bekasi;Im3 memang selalu ok.sinualnya pun bagus.banyak promonya;5;25/01/2024 09.11;81.16.00;;
Maria Hajar;bagus;4;25/01/2024 09.08;82.00.04;;
ahmad iskandar;👍👍👍👍👍👍;5;25/01/2024 09.06;82.00.04;;
Helen Len;aplikasi myl3 ini sayangat bermanfaat bagi saya karena sya belum gajian saya bisa pinjam kouta di sini/paket;5;25/01/2024 09.04;82.00.04;;
Febryan Alpandi;Kartu gakjelas, padahal ada paket data, tapi yg di sedot malah pulsa duluan, karna udah terlanjur semua nomor ada di kartu Indosat, kalo ga dah di buang dari dulu asuu;1;25/01/2024 09.04;82.00.02;;
Aan editZ;🗿👍;5;25/01/2024 09.03;81.13.00;;
Hafiq Al varo;Bagus minesnya gak ada gratisan;5;25/01/2024 08.40;81.10.01;;
kreatipp amatsih;kata nya pulaa safe nyata nya selalu ngambil pulsa apa apan ini operator mau pindah najis;1;25/01/2024 08.38;80.06.00;;
Beurit Goah;menuntungkan;5;25/01/2024 08.37;0;;
Indah Kusdianti;gajelas, udah lola tiba tiba pulsa ngurang fakmen;1;25/01/2024 08.28;81.16.00;;
Wina Wati;luar biasa;5;25/01/2024 08.25;0;;
Gyan Arsenio;terbaik;5;25/01/2024 08.23;81.13.00;;
Iyah Bagas;sangat membantu;5;25/01/2024 08.20;82.00.03;;
Redmi;indosat mantap;5;25/01/2024 08.20;0;;
Kautsar Firmansyah;Cukup bagus dan lancar.;5;25/01/2024 08.04;82.00.03;;
Ipah Lestari;Apelikasiny bagus;5;25/01/2024 08.01;0;;
Angga dwi Gunardi;Min iklan nya di ganti cowok aja yaa;1;25/01/2024 08.00;82.00.04;;
Muhammad Rizqin Fadlih11;Kocak kuota apps entertainment ga bisa di pake buat yt FB ig dll;1;25/01/2024 08.00;0;;
Heri Anto;aq kasih bintang dlu ya;3;25/01/2024 07.55;82.00.02;;
Wahyu Lestari;baik;5;25/01/2024 07.52;82.00.03;;
anggaeka pratama;sinyale bosok jncokk;1;25/01/2024 07.45;0;;
Anum Sari;saya beri 4 bintang karena pas mau beli paket pakai kuota diaplikasi harus menghidupkan data dan pulsa akan berkurang dan tidak bisa untuk membeli paket;4;25/01/2024 07.39;81.16.00;;
Muhammadnurhidayat 0327;ok;4;25/01/2024 07.38;82.00.04;;
marsono seno;Semoga tdk seburuk yg orang lain katakan...;3;25/01/2024 07.34;0;;
Rezi Rebi;M3 makin lama makin melarat makin susah, mahal lagi;1;25/01/2024 07.30;82.00.02;;
dony donyun;Makin hari sinyal nya makin buruk;3;25/01/2024 07.29;81.01.02;;
Jhon Sabam Ricard;Sinyal Ga Karuan. Najiss;1;25/01/2024 07.18;82.00.04;;
Rohman Syah;Makin lama hot promo nya makin mahal;1;25/01/2024 07.14;82.00.02;;
Anime tv;Seharusnya jika update semakin lancar, ini tambah lemot;1;25/01/2024 06.59;v71.2;;
Vinz;Im3 aneh bodog betul beli paket ada aja trus masalah nya;1;25/01/2024 06.58;0;;
Rasyid Siregar;bagus.;1;25/01/2024 06.56;82.00.04;;
Muhammad Ikbal;Jelek bgt jaringan nya main ml aja 200ms pelit di semua lokasi jelek pokoknya;1;25/01/2024 06.54;82.00.02;;
Yudis Tira;Sebenarnya aplikasinya sudah bagus tapi ada masalah kok pulsa saya yang tadi 30rb jadi kesedot setiap menit 1rb gimana nih?;2;25/01/2024 06.52;82.00.02;;
Dede Novi;Indosat plis adain lg paketan yg 12 gb 7 hari. Ini ganti emang sih kuotanya bertambah jadi 15 gb tapi cuma 5 hari sayang ajah gitu gak kepake udah hangus duluan sama katanya pulsa save tapi pulsaku ilang terus ayo indosat di perbagus lagi;3;25/01/2024 06.43;82.00.03;;
lekza pashter;ok;5;25/01/2024 06.39;81.10.01;;
Eknawani Zulaikha;ok;1;25/01/2024 06.31;0;;
Didik Rahmanto;mantap;4;25/01/2024 06.28;82.00.04;;
Herman Bae;bagi saya paket gratis;5;25/01/2024 06.24;81.16.00;;
Alesha Azzahra;Koneksi internet sangat buruk. Paket dana semakin mahal;1;25/01/2024 06.20;81.16.00;;
Imron Koko;paket varian 100 rb sampai 50 rb tetap di hadirkan sebagai opsi;5;25/01/2024 06.20;81.13.00;;
Alpha;Tolong masukkan bts di PT. MUSI HUTAN PERSADA DESA SUBAN JERIJI KECAMATAN RAMBANG DANGKU KABUPATEN MUARA ENIM, SUMATERA SELATAN, WILAYAH PERUSAHAAN GEDE DAN BYK PENDUDUK SAMA SEKALI GK ADA SIGNAL INDOSAT. EDGE AJA GK ADA, KITA SERING KESANA UTK URUSAN BISNIS GK ADA SIGNAL SAMA SEKALI. TOLONG MASUKKAN PRIORITAS PERTAMBAHAN BTS DI TAHUN INI. SYA LIHAT CUMA INDOSAT YG GK ADA SIGNAL DISANA, PROVIDER MERAH DAN BIRU UDH 4G. INI UDAH 2021 . MAKASIH PERHATIAN NYA EDIT: INI UDAH 2022 BELUM JUGA MASUK;4;25/01/2024 06.17;82.00.04;;
Arthur Mukrom;belum ada perubahan. makin mahal, makin buruk👏👏👏;1;25/01/2024 06.11;82.00.03;;
Mutiara Callysta;Entah mengapa data terkuras terlalu banyak padahal tidak memainkan game atau apk yang membutuhkan data yang banyak;2;25/01/2024 06.01;82.00.03;;
ritje cantik;Tingkat kan ...;1;25/01/2024 06.01;82.00.02;;
LeviN Nathanael T 24;MATI DADAKAN JARINGANNYA KEK KONTROL;1;25/01/2024 05.59;81.16.00;;
Dean Dri;Kenapa paket data internet sangat mahal semakin sering beli paket data semakin mahal mohon turunkan lah harganya sekian saya terima kasih;1;25/01/2024 05.58;82.00.02;;
Erlangga Pratama;sangat membantu;5;25/01/2024 05.52;81.16.00;;
Ilham Sentosa;mantap pak HERI;5;25/01/2024 05.44;82.00.04;;
Agung Suk;kecewa sama im3 . pelayan customer service sangat buruk dan mengecewakan. kerugian besar untuk saya selalu khilangan pulsa dan kuota. tidak ada tanggung jawab hanya kata maaf saja . burukkkk sangat burukkk;1;25/01/2024 05.37;82.00.03;;
Diki Jansen;Jaringan mulai kentang cuaca Oke listrik hidup jaringan 4g+ tapi buat main game dan sebagai nya ngelag dulu sebelum banyak yang pakai paling Oke skrang banyak yang pakai ngelag and sekarang banyak yang mulai pindah ke kartu sebelah sebaiknya di perbaiki jaringanya jika ingin Indosat tetap baik baik saja sekian saran dari pengguna setia smoga cepat di respon;1;25/01/2024 05.36;82.00.04;;
annisa mulya;Saya ganti bintang satu karena mengecewakan . Pelayanan sangat buruk. Kuota saya 100 gb hilang dan tidak ada tanggung jawab nya. Jancokkk;1;25/01/2024 05.35;81.16.00;;
Bakul Japet;udah hampir 15 tahun pake Indosat, mantap ITS the best lah;5;25/01/2024 05.33;81.04.00;;
Muhammad Alfian010;Makin diupdate malah makin lambat buka aplikasi nya. Ditambah sinyal nya lambat lemah, nonton yutub biasa nya bagus terhalang sam sinyal jadi burem banget......... Jangan kasih bintang banyak2 kasih ajh 1 biar ada perubahan;1;25/01/2024 05.30;82.00.04;;
Amin Ramadhani;mantap;5;25/01/2024 05.30;81.16.00;;
Drembes Hitam;"Admin,, saya mau laporan kok ditolak trs,, padahal paketan saya tadi tinggal 1,5giga trs 5 mnit tak tinggal sudah hilang itu bAgaimana ceritanya min,,kok lama""im3 tambah lemot juga";2;25/01/2024 05.25;0;;
Romy Kalong;Bagus ayo mulai;4;25/01/2024 05.24;82.00.04;;
Syahril;Sangat senang;5;25/01/2024 05.24;82.00.03;;
dede 57;ok;5;25/01/2024 05.24;82.00.04;;
Udin Tenjo;ok;4;25/01/2024 05.20;0;;
Indra BudiS;"Sinyal taikk ,, paket internel larang poll ,, bosokkkk Sinyal hilang"" im3 burukk";1;25/01/2024 05.18;82.00.04;;
Dado Dado;sangat membantu;5;25/01/2024 05.18;82.00.04;;
nur alipah;sinyal ny makin jelek, gilaaaaaa;1;25/01/2024 05.16;81.16.00;;
Rozaki Mubarok;aplikasi sangat membantu, kuota nya murah murah;5;25/01/2024 05.13;82.00.04;;
Abang Pandu;sangat baik;5;25/01/2024 05.12;82.00.04;;
Ryu Mkz;Call center nggk becus, kebanyakan konsumen hanya di kasih janji manis, solusi masalah nya tidak ada, andaikan stok kuota sya di sini sudah habis, sya patahkan nih kartu ndk guna, seperti nggk gunanya anggota call center nya;1;25/01/2024 05.11;82.00.04;;
Talus Mulus;Tiap update musti login ulang. Repot banget dah;1;25/01/2024 05.10;82.00.04;;
Zuhad Latif;sesuai kebutuhan;5;25/01/2024 05.04;82.00.03;;
Ryu Alfafa;Terimakasih im3 jaringan sudah stabil;5;25/01/2024 04.59;82.00.03;;
Sinta Yunida;Goodjob;5;25/01/2024 04.58;82.00.02;;
Moh Noh45;sangat bagus;5;25/01/2024 04.53;0;;
Ibnumalik bh Malik;okee;5;25/01/2024 04.51;82.00.04;;
Muhammad Ikhsan;bagus;5;25/01/2024 04.51;82.00.04;;
Yogi Pratama ma;senang saya pakai aplikasi ini;4;25/01/2024 04.50;81.16.00;;
Rianti Kayla;sangat suka, im3 the best;5;25/01/2024 04.50;82.00.02;;
Intan Puspita;Buruk paling buruk lemah jelek sinyal buruk kartu busuk kartu ga guna sinyal lemot pelayanan jelek...tutup aja indosat jelek jaringan......pindah Kartu aja gays ini kartu gak berguna ditengah kota masa sinyal hampir 95% burukkkkkkkkkkk;1;25/01/2024 04.40;82.00.02;;
Aristu Prananca;"Berkali kali saya cobak login ulang setelah update, kenapa ya kok muncul tulisan ""oops unexpected..."" Terus nya padahal sudah 2x update";2;25/01/2024 04.37;0;;
ainun najib;im3 memang suka ngambil pulsa, padahal nggak neken tombol apa apa,dan nggak ngutang pulsa SOS ayo semuanya beri bintang 1,biar Indosat sadar;1;25/01/2024 04.35;82.00.04;;
Imam Mukhodori;bagus;5;25/01/2024 04.12;82.00.04;;
Denok Subudi;top;5;25/01/2024 04.11;82.00.04;;
Muhammad Ilham Akbar;Jaringan jelek gak pernah bagus,mau di kota mau di desa gak ada bedanya sama aja jelek, tolong di perbaiki,masa kalah sama kartu lain;1;25/01/2024 04.10;0;;
Ucil Likitik;Sinyal makin tambah tahun makin kurang enak;1;25/01/2024 04.03;0;;
Aryo Wijaya;sangat bagus;5;25/01/2024 03.54;82.00.04;;
Do Vido19;sinyal semakin susah, pengguna lama jarang dapat promo. langganan 100gb/30hari tapi susah sinyal, jarang ada diskon diharga kuota 100gb/30hari 150.000, dikuota lain dapat diskon.;1;25/01/2024 03.53;82.00.04;;
Sky Gracee;masa saya isi pulsa untuk beli paket saya sengaja nyisain pulsa 70.000 malah malah jdi 4.200 apaan begitu gak lagi lagi de makai im3 kalo kek gtu masa pulsa nya hangus gatau kemna padahal saya ada paket internet. jaringan sering hilang, ngelag di bawa ngegame. gimana sih opetator nya;1;25/01/2024 03.53;82.00.02;;
Boby rakhman Rakhman;mantap;5;25/01/2024 03.52;81.16.00;;
Rasdan SisFo;Entah kenapa jaringan Indosat 2 bulan terakhir ini sangat tidak rekomendasi di gunakan, apalagi pada saat kegiatan zoom, jaringannya sering sekali hilang tiba-tiba, kadang jug jaringan full tapi tidak terhubung.;2;25/01/2024 03.52;82.00.04;;
Kartini Shany;pamanukan subang;5;25/01/2024 03.47;82.00.04;;
Sa Mid;M3 eek,jarungan gak stabil pke main game selalu merah.ada sms ngaruh ke data tiba2 lag...mending alih prop lain. Sangat mengecewakan;1;25/01/2024 03.46;0;;
desy alivia;Tolong rincian paketnya dirincikan secara Detail;1;25/01/2024 03.40;82.00.02;;
Gusti onel;lumayan;5;25/01/2024 03.39;82.00.04;;
LokaDwienata 88;okeeee;5;25/01/2024 03.02;82.00.03;;
George Gold;Malem isi pulsa paginya mau beli paket pulsa malah kepotong jadi ga bisa beli paket!!! TOLONG JANGAN SUKA MODUS NYEDOT PULSA DONG INDOSATTT MAU UNTUNG JANGAN KAYAK GITU KELAKUAN!!!!!;1;25/01/2024 02.59;0;;
Figo Elang;naiseh;5;25/01/2024 02.59;82.00.04;;
Hendri Lumentah;Parahh... setiap topup pulsa tidak masuk. 2x begitu. komplain lwt indira, email, sama aja. Penanganan lama;1;25/01/2024 02.57;82.00.03;;
Wiranto Anto;bagus kasi bonus;5;25/01/2024 02.54;82.00.04;;
Bima Saputra;Knp Im3 poin ku gk msuk sih.. Aneh bget dah.. Kox mkin gak jls sih;2;25/01/2024 02.50;0;;
EMIHA SPYKID;good;5;25/01/2024 02.49;82.00.04;;
aryo khan;bagus;2;25/01/2024 02.39;82.00.04;;
Eja Sahroja;keren....;5;25/01/2024 02.27;82.00.03;;
Ruben Zilgwin;mantap;3;25/01/2024 02.25;82.00.04;;
Abid Dzakiy;ok;5;25/01/2024 02.24;82.00.03;;
Lili;good;5;25/01/2024 02.22;81.13.00;;
Ngatemin;Buruk;1;25/01/2024 02.21;82.00.04;;
Peris Setiawann;sangt bgus skali penawaran mtri yg diberikan saya suka;5;25/01/2024 02.21;82.00.03;;
Argo Nurcahyo;Hot promo tapi gk bisa dibeli Diproses terus lama bngt Mau beli kuota aja sulit bngt;1;25/01/2024 02.21;82.00.03;;
Anthony Wijaya;Gratis Telponnya kok gak bisa digunakan? Cashback juga gak bisa digunakan? Kenapa Pulsa bisa terkuras sendiri padahal tidak di gunakan? Kuota Sekarang Boros;1;25/01/2024 02.04;82.00.04;;
Warno Arya;Mantap;5;25/01/2024 02.02;81.04.00;;
Sinar Shop;sinyal bagus dan kuat..walau kemaren 2hari tanpa sinyal...;5;25/01/2024 01.59;82.00.04;;
Zul Kifli;Minimal registrasi dipermudah boss jangan apps elit registrasi sulit;1;25/01/2024 01.50;82.00.04;;
solehudin teten;good;5;25/01/2024 01.38;82.00.04;;
Affsen Maesyha;Langsung +5 Apk Nya Mantp 👍👍;5;25/01/2024 01.31;81.13.00;;
Ali Tariu;👍🤟;5;25/01/2024 01.29;82.00.04;;
Rifki Saputra;bagus;5;25/01/2024 01.24;82.00.04;;
Nva Alexei;"Saya pengguna baru IM3 menurut saya aplikasi sudah bagus cuman untuk keluhan saya hampir sama seperti pengguna lain masalah agak beratnya waktu masuk aplikasi (lemot), masalah jaringan yang terkadang lambat/hilang, selebihnya menurut saya sudah baik, dan untuk ke depannya menurut saya lebih baik IM3 tambahin fitur ""Safe pulsa"" seperti app provider sebelah agar pengguna semakin merasa nyaman akan tiba²nya pulsa kesedot karena habis kuota tanpa adanya peringatan.";3;25/01/2024 01.18;82.00.04;;
akun Ml;event ngibulin orang;1;25/01/2024 01.11;81.13.00;;
Opoo A5789;apk nya mantap sekali;5;25/01/2024 01.11;81.15.00;;
Toni Wardono;sangat nice;4;25/01/2024 01.03;82.00.04;;
Fajar Saifudin;Saya kasih 1 karena gk ada yg 2gb tolong kasih yg 2gb saya butuh untuk tugas sekolah tolong perbaiki 🙏🙏🙏;1;25/01/2024 01.00;82.00.04;;
Zulkifligobel Kifli;bagus;5;25/01/2024 00.50;82.00.04;;
Wulan Sijabat;puas;4;25/01/2024 00.47;82.00.04;;
Mukhammad Fatoni;mym3 sangat membantu dalam pembelian paket data maupun lihat jatuh tempo nya;5;25/01/2024 00.44;81.16.00;;
nonos soemarjono;baik;4;25/01/2024 00.42;82.00.04;;
Ubaidilah Bin Aria Subarna;pengalaman yang menyenangkan setelah bergabung bersama im3 indosat oredoo,dengan benefit harga bonus yang murah menjadikan pengalaman yang sangat menguntungkan buat kita pengguna jaringan provider,semoga im3 memberikan bonus harga dan memberikan kepuasan buat para penggunanya.terima kasih;5;25/01/2024 00.38;82.00.04;;
Heru Purnomo;bagus;4;25/01/2024 00.34;82.00.04;;
Muhamad Ujang;mntap;5;25/01/2024 00.26;82.00.02;;
Hani Susanti;sangat baik;5;25/01/2024 00.25;82.00.03;;
Abdul Lathif;sangat membantu;5;25/01/2024 00.14;81.15.00;;
Ratna Dewi;Yg awalnya⭐⭐⭐⭐⭐ Tak gnti ⭐ skrg 😤😤 Ku kira punyaku saja yg lemooot trnyta semua orang juga pada kompleeen. Mana paket unlimited uda ga ada skrg. Truz harus pakek paket yg apaa skrg ????? Mana hrganya miihiilllllllll kembalikan hrga yg dlu doong klo pelayanan masii kek gini;1;25/01/2024 00.14;82.00.02;;
Izzat Maulid;keyen;5;25/01/2024 00.10;82.00.04;;
L e t`;Sangat kecewa data paket apps + paket data freedom msh banyak , coba minjem paket darurat buat coba² eh gataunya malah paket sebelumnya kehapus dan di gantikan paket darurat semua;1;25/01/2024 00.02;0;;
Jojor Lina;aku suka bangat aplikasi ini, sangt membantu;5;24/01/2024 23.54;81.16.00;;
Johan Jayadi;Bagus;5;24/01/2024 23.50;82.00.03;;
RJP- suka cari.;aplikasi semakin kurang bagus.. sering gak kebuka. paket internet semakin mahal. dulu paling murah dan bagus jaringan. skrg semakin menurun.;2;24/01/2024 23.39;82.00.03;;
Syifa Asyifa;terimakasih my Indosat;5;24/01/2024 23.38;82.00.04;;
Hendra Wan;aplikasi nya sangat membantu;5;24/01/2024 23.35;82.00.04;;
C6 H14;5x pulsaku abis, minta isi pulsa darurat. Tp gaada yg masuk, tetep tiap isi ulang pulsa dipotong. Penipuan ini mah. Saranku jangan dipake, mending pake telk0msel aja;1;24/01/2024 23.34;82.00.04;;
Yudas Iskariot;luar biasa;5;24/01/2024 23.28;82.00.02;;
panci ajus.;saya cobak dulu ntar kalau bagus tak tambahin lagi bintangnya.;4;24/01/2024 23.28;82.00.04;;
Ma;rup Siu123;1;24/01/2024 23.27;82.00.04;;
Mulyadi Yadi;promo nya sering hilang;5;24/01/2024 22.51;82.00.03;;
Jagung Ayu;ok;5;24/01/2024 22.39;82.00.04;;
Rian Kurniawan;Mengecewakan;1;24/01/2024 22.29;82.00.02;;
Yongki Yongki;kurang puas;1;24/01/2024 22.25;81.16.00;;
Nurazizah anastasya;kenapa ya kok tiba' kuota saya sudah diisi 100gb tapi tiba-tiba saya cek tadi malam sudah gada hilang begitu saja mohon dong IndosatCare pertolongan nya soalnya bukan sikit gb nya satu malaman nangisin hilang kuota;1;24/01/2024 22.08;81.14.02;;
Neminarya Juanta;Good;5;24/01/2024 22.08;81.15.00;;
Ilham Salinri;topp;5;24/01/2024 22.06;82.00.04;;
khanif sum;jos gandos klo bisa harga paketan lebi murah;5;24/01/2024 21.58;82.00.04;;
Kevin Dwicahya;bagus;5;24/01/2024 21.42;81.08.00;;
Tabir Kiswah;Good;5;24/01/2024 21.40;81.16.00;;
Isbalul Syuruqi;👍🏻;5;24/01/2024 21.21;81.04.00;;
Moh Riziq;kurang bagus masih sangat mahal;1;24/01/2024 20.36;82.00.04;;
Dedi indonesia Dream juice;Beri pulsa min;5;24/01/2024 20.29;0;;
Aji Syaiful m;Gua lagi main ML ber4 sinyal indosat semua, ngelag semua, jadi kalah, malah mau langend;1;24/01/2024 19.50;82.00.04;;
Egga Pratama;"Mentang"" paketan dimurahin sinyal macam angin";2;24/01/2024 19.48;0;;
Dewi Aja;semoga membantu;5;24/01/2024 19.06;82.00.03;;
Ketan Goreng;Indosat ga jelas bet sumpah Sinyal susah mulu udah 2 Minggu Mau pengaduan ga bisa Gimana si ini lah udahmah paket data masih ada 14gb ilang gatau kemana Jelek bet sekarang Indosat;1;24/01/2024 18.30;81.15.00;;
Ahmad Faisal;𝐛𝐚𝐠𝐮𝐬;5;24/01/2024 18.19;82.00.04;;
Indra Manoppo;Saya kasih bintang 1 karena jaringan sering leg atau hilang pada saat bermain game pubg mobile sama mobile legend;1;24/01/2024 18.15;82.00.02;;
Aji Sapaputra;Apasi makin kesini malah jadi makin kesana ngaco bener ni kartu, maaf ya bukan maaalany nya apa cuma sedikit protes karena makin kesini malah makin jlek.;1;24/01/2024 18.15;82.00.04;;
fik Yo;good;5;24/01/2024 18.07;0;;
Jacob Onibala;"jaringan ampas ilang""";1;24/01/2024 18.06;80.08.04;;
asd mana;Buffering mulu padahal di kota Bukan di kampung;2;24/01/2024 17.45;82.00.02;;
Suci Berkah Optimal;ok;4;24/01/2024 17.42;82.00.04;;
Nasya 02;jd mudah cek kuota & pulsa,sukses selalu myIM3;5;24/01/2024 17.41;0;;
aam Agara;Koneksi jaringan internet sangat lambat di wilayah saya;1;24/01/2024 17.34;81.16.00;;
Sandy Akmal ludin;Lemot kuota pada mahal mahal kurang puas;1;24/01/2024 17.29;82.00.04;;
Mohammad Nurfajar almuhtadin;Panjat koutaa taekkkkkkk;1;24/01/2024 17.24;82.00.02;;
Saipul Ipul;baguss;5;24/01/2024 17.19;82.00.04;;
Soft Clouds;banyakin promo lagi;5;24/01/2024 17.15;82.00.03;;
Ismail bahtiar;Indosat ngelleg sinyal full tapi Masi ngelleg tolong diganti jangan Indosat Indomaret aja;1;24/01/2024 17.15;0;;
Ajatdidi Abad;jossdd;5;24/01/2024 17.06;82.00.04;;
agis riyadi;Gajelas banget jaringan nya mau internetan juga susah amat apalagi pake nonton streaming gabisa gajelas banget sumpah ni indosat sampe sekarang juga b elum bener juga ni indosat;1;24/01/2024 16.58;0;;
umam styawan94;mntappp;5;24/01/2024 16.56;82.00.03;;
Lukas Gawa;Jujur saya Kecewa baru isi pulsa tiba² udah kepotong padahal saya ngutang pulsa ga ada Kuota masih ada 200an MB masa iya hidupin data jadi kemakan pulsa nya terus guna nya kuota apa kalau memakan pulsa Asli si ga beres;1;24/01/2024 16.54;81.16.00;;
A2KT;Habis isi pulsa Rp.150.000 tapi poin tidak bertambah;5;24/01/2024 16.26;82.00.04;;
Kamong Aulia;Aplikasi ini sangat bagus semoga di per luas lagi jaringannya biar tambah bagus dan banyak bonus nya dan geratisanya poin nya di tambah lagi;5;24/01/2024 16.26;82.00.03;;
Lutfi Maulana;Aplikasi di update malah harga paket pada naik mana naiknya jauh banget, pdhl udh 14 THN nan gw pke M3 baru ini kecewa banget,dahlah ganti kartu sebelah aja;1;24/01/2024 16.21;80.06.01;;
Telly Guntur;sangat membantu;5;24/01/2024 16.20;82.00.03;;
Cassava Heejin;Serius, pulsa saya kenapa sering banget ilang?;1;24/01/2024 16.18;82.00.02;;
edi sucipto;Jaringan nya susah buat maen gem gampang ngelek...didesaa saya.....sangat sanagt menyebal kan.....klok di desa lain gak tw...mohon di perbaiki .....ya petugas nya biar tambah semngat saya pakek kartu mtri;5;24/01/2024 16.15;82.00.03;;
Rudi Rustandi;bagus;2;24/01/2024 16.12;82.00.04;;
